1	2466
1	3507
4	6850
5	5728
5	8783
5	9216
5	9779
5	5874
5	9595
5	6849
5	9614
5	3733
5	2372
5	9881
5	8025
5	9349
6	6652
9	3078
9	6225
9	6765
9	4190
9	4991
9	9674
9	7428
9	6914
10	3616
11	3750
13	5586
15	3043
16	5017
16	7095
16	5113
16	4133
16	6468
18	698
19	6668
19	7130
20	2615
22	213
22	4302
22	2593
22	1016
22	5250
22	606
22	1280
28	399
30	5732
34	7808
38	3168
39	1453
39	8410
40	6725
40	5151
43	1089
44	4502
45	483
49	7951
54	6501
56	380
56	3940
57	9079
58	3330
59	6402
61	3825
62	3507
65	2180
66	84
66	8518
66	820
66	4748
67	1467
67	360
67	3078
67	618
67	2155
67	2597
67	1300
67	3872
67	3570
67	259
67	5952
67	6635
67	1539
67	7795
72	89
73	1113
74	380
74	5251
74	6933
74	2706
76	7557
77	6512
78	379
80	7761
84	5039
84	5330
84	533
84	723
84	3656
84	9915
84	5918
84	4471
84	527
84	425
84	4847
84	521
84	1453
84	2672
84	6512
84	1602
84	7066
84	6091
84	9010
84	3575
85	3700
85	10054
86	213
86	7923
86	5227
86	4302
86	4827
86	2593
86	4690
86	380
86	5475
86	5222
86	203
86	902
86	6795
86	521
86	493
86	8483
86	1085
86	9976
86	2000
86	9880
86	1865
86	8256
87	213
87	2731
87	5238
89	3168
90	2825
93	3524
95	2548
97	723
97	987
97	3029
97	6147
97	5183
97	527
98	9634
98	2568
98	3201
98	2982
98	5767
98	2533
98	1424
98	2887
98	201
98	3435
98	5172
98	583
99	585
102	7095
102	6468
104	363
104	5017
110	9813
111	458
112	6948
112	8312
112	3223
112	3723
114	202
114	8754
114	7652
114	8944
114	7138
114	9195
114	8468
114	6255
114	1132
114	3403
114	380
114	521
114	86
114	3604
114	1269
114	435
114	5109
114	2856
114	493
114	1951
114	6927
114	1564
114	9501
114	1506
114	720
114	3055
114	3570
114	1280
114	2593
114	2568
114	9287
114	3750
114	1366
114	4148
114	246
114	5971
114	7070
114	2794
114	9109
115	3454
115	7095
115	5335
115	16
115	5029
116	379
117	6851
119	6821
120	1366
120	5172
120	3360
121	379
122	862
122	3469
122	1951
123	618
123	7640
123	7873
123	499
123	3391
123	4892
123	5039
123	108
123	2247
123	2158
123	3531
123	3299
123	66
123	9510
123	9247
123	5918
123	5823
123	1666
123	790
123	810
123	4748
123	1665
123	7682
123	1969
126	8256
126	10187
128	3750
129	4070
129	1100
129	3345
130	3168
134	48
135	67
135	3669
137	1951
138	1801
140	3566
141	3900
142	3477
142	6682
145	1877
145	1602
146	3566
146	7485
146	8492
146	719
146	941
147	7254
148	2825
151	8153
155	1877
157	1877
157	1453
157	1671
158	625
160	5017
164	379
165	5258
166	1280
167	6017
167	2215
167	7999
168	5586
168	8551
168	398
168	5180
168	399
170	5586
170	5992
170	7381
170	1600
170	8362
170	8378
170	6495
172	3043
173	3723
173	924
174	1199
176	862
177	5678
177	8731
179	901
179	480
179	844
179	4298
186	2707
187	7017
188	9109
191	493
191	4502
191	6421
191	7540
191	709
191	817
191	2315
191	604
191	6690
191	1602
191	1073
191	6045
191	3688
191	98
191	8737
191	6682
191	6725
191	7541
191	2707
191	7808
191	6108
191	5368
191	6992
191	7096
191	5991
191	157
191	9259
191	7555
191	481
191	4337
191	6245
191	9802
191	2914
191	3414
191	2775
192	5017
192	3831
192	7095
193	2731
195	862
195	257
195	3186
195	2619
196	3196
196	5201
196	4221
197	8312
198	493
198	6927
198	4686
198	1506
